Suburb,Postcode,Lat,Lng,Domain_id,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,auctionNumberWithdrawn,daysOnMarket,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
Berringa,3351,-37.6978029,143.0029169,4227,,,,,,,,,,,,,,,,
Berriwillock,3531,-35.6512854,142.9170407,4247,,,,,,,,,,,,,,,,
Berrybank,3323,-38.0061194,143.4986586,4267,,,,,,,,,,,,,,,,
Berrys Creek,3953,-38.4586497,146.002705,4277,,,,,,,,,,,,,,,,
Berwick,3806,-38.0264207,145.3475331,4297,,,,,,,,,,,,,,,,
Bessiebelle,3304,-37.9678788,141.3889736,4307,,,,,,,,,,,,,,,,
Bet Bet,3472,-36.8747643,143.6068646,4317,,,,,,,,,,,,,,,,
Betley,3472,-36.8747643,143.6068646,4357,,,,,,,,,,,,,,,,
Beulah,3395,-35.9172982,142.4039296,4367,,,,,,,,,,,,,,,,
Beverford,3590,-35.2285875,143.4662269,4377,,,,,,,,,,,,,,,,
Beveridge,3753,-37.4822825,144.9832134,4387,,,,,,,,,,,,,,,,
Big Desert,3490,-35.3571245,141.5991643,102207,,,,,,,,,,,,,,,,
Big Hill,3231,-38.451657,144.0521131,4417,,,,,,,,,,,,,,,,
Big Hill,3555,-36.808032,144.2483931,4417,,,,,,,,,,,,,,,,
Big Pats Creek,3799,-37.6990844,145.8023118,4457,,,,,,,,,,,,,,,,
Biggara,3707,-36.4104992,147.9162555,4467,,,,,,,,,,,,,,,,
Bindi,3896,-37.1819263,147.7799935,4497,,,,,,,,,,,,,,,,
Binginwarri,3966,-38.6286899,146.4383942,4507,,,,,,,,,,,,,,,,
Bingo Munjie,3898,-37.022052,147.5079912,4517,,,,,,,,,,,,,,,,
Birchip,3483,-35.9221523,142.8312661,4527,,,,,,,,,,,,,,,,
Birchip West,3483,-35.9221523,142.8312661,4537,,,,,,,,,,,,,,,,
Birdwoodton,3505,-34.189156,141.8100218,4547,,,,,,,,,,,,,,,,
Birregurra,3242,-38.3300725,143.8128803,4557,,,,,,,,,,,,,,,,
Bittern,3918,-38.3329437,145.165179,4567,,,,,,,,,,,,,,,,
Black Hill,3350,-37.5691087,143.8563224,4587,,,,,,,,,,,,,,,,
Black Range,3381,-37.1716807,142.5745556,4607,,,,,,,,,,,,,,,,
Black Rock,3193,-37.9809272,145.0328017,4627,,,,,,,,,,,,,,,,
Blackburn,3130,-37.8258214,145.1541397,4637,,,,,,,,,,,,,,,,
Blackburn North,3130,-37.8258214,145.1541397,4657,,,,,,,,,,,,,,,,
Blackburn South,3130,-37.8258214,145.1541397,4667,,,,,,,,,,,,,,,,
Blackwood,3458,-37.459275,144.3685809,4697,,,,,,,,,,,,,,,,
Blairgowrie,3942,-38.3645949,144.7686693,4717,,,,,,,,,,,,,,,,
Blakeville,3342,-37.6114047,144.215646,4737,,,,,,,,,,,,,,,,
